,time,turbidity,pH
165,2020-11-14 08:00:00.00+00:00,16,7.5
166,2020-11-14 10:00:00.00+00:00,16,7.5
167,2020-11-14 12:00:00.00+00:00,15,7.5
168,2020-11-14 14:00:00.00+00:00,15,7.5
169,2020-11-14 16:00:00.00+00:00,18,7.5
170,2020-11-14 18:00:00.00+00:00,84,7.4
171,2020-11-14 20:00:00.00+00:00,150,7.4
172,2020-11-14 22:00:00.00+00:00,97,7.5
173,2020-11-15 00:00:00.00+00:00,93,7.4
174,2020-11-15 02:00:00.00+00:00,82,7.4
175,2020-11-15 04:00:00.00+00:00,54,7.5
176,2020-11-15 06:00:00.00+00:00,28,7.5
177,2020-11-15 08:00:00.00+00:00,18,7.5
178,2020-11-15 10:00:00.00+00:00,17,7.5
179,2020-11-15 12:00:00.00+00:00,18,7.5
180,2020-11-15 14:00:00.00+00:00,17,7.5
181,2020-11-15 16:00:00.00+00:00,17,7.5
182,2020-11-15 18:00:00.00+00:00,18,7.5
183,2020-11-15 20:00:00.00+00:00,17,7.5
184,2020-11-15 22:00:00.00+00:00,18,7.5
185,2020-11-16 00:00:00.00+00:00,18,7.5
186,2020-11-16 02:00:00.00+00:00,17,7.5
187,2020-11-16 04:00:00.00+00:00,16,7.5
188,2020-11-16 06:00:00.00+00:00,16,7.5
189,2020-11-16 08:00:00.00+00:00,17,7.5
190,2020-11-16 10:00:00.00+00:00,12,7.5
191,2020-11-16 12:00:00.00+00:00,14,7.5
