,time,turbidity,pH
95,2020-11-10 10:00:00.00+00:00,17,7.6
96,2020-11-10 12:00:00.00+00:00,18,7.5
98,2020-11-10 14:00:00.00+00:00,17,7.6
100,2020-11-10 16:00:00.00+00:00,18,7.6
101,2020-11-10 18:00:00.00+00:00,23,7.5
103,2020-11-10 20:00:00.00+00:00,21,7.5
105,2020-11-10 22:00:00.00+00:00,20,7.5
107,2020-11-11 00:00:00.00+00:00,21,7.5
109,2020-11-11 02:00:00.00+00:00,12,7.5
111,2020-11-11 04:00:00.00+00:00,14,7.5
112,2020-11-11 06:00:00.00+00:00,15,7.5
113,2020-11-11 08:00:00.00+00:00,15,7.6
114,2020-11-11 10:00:00.00+00:00,17,7.5
116,2020-11-11 12:00:00.00+00:00,16,7.6
117,2020-11-11 14:00:00.00+00:00,17,7.6
119,2020-11-11 16:00:00.00+00:00,18,7.6
120,2020-11-11 18:00:00.00+00:00,19,7.5
121,2020-11-11 20:00:00.00+00:00,18,7.5
122,2020-11-11 22:00:00.00+00:00,16,7.6
123,2020-11-12 00:00:00.00+00:00,17,7.5
124,2020-11-12 02:00:00.00+00:00,15,7.5
126,2020-11-12 04:00:00.00+00:00,16,7.5
127,2020-11-12 06:00:00.00+00:00,14,7.5
129,2020-11-12 08:00:00.00+00:00,13,7.5
130,2020-11-12 10:00:00.00+00:00,14,7.5
131,2020-11-12 12:00:00.00+00:00,13,7.5
132,2020-11-12 14:00:00.00+00:00,13,7.5
133,2020-11-12 16:00:00.00+00:00,12,7.5
134,2020-11-12 18:00:00.00+00:00,15,7.5
135,2020-11-12 20:00:00.00+00:00,16,7.5
136,2020-11-12 22:00:00.00+00:00,38,7.5
137,2020-11-13 00:00:00.00+00:00,36,7.5
142,2020-11-13 02:00:00.00+00:00,29,7.5
143,2020-11-13 04:00:00.00+00:00,25,7.5
144,2020-11-13 06:00:00.00+00:00,23,7.5
146,2020-11-13 08:00:00.00+00:00,14,7.5
147,2020-11-13 10:00:00.00+00:00,13,7.5
149,2020-11-13 12:00:00.00+00:00,13,7.5
150,2020-11-13 14:00:00.00+00:00,13,7.5
152,2020-11-13 16:00:00.00+00:00,12,7.5
154,2020-11-13 18:00:00.00+00:00,26,7.5
156,2020-11-13 20:00:00.00+00:00,38,7.5
157,2020-11-13 22:00:00.00+00:00,65,7.5
158,2020-11-14 00:00:00.00+00:00,63,7.6
160,2020-11-14 02:00:00.00+00:00,61,7.5
161,2020-11-14 04:00:00.00+00:00,28,7.5
163,2020-11-14 06:00:00.00+00:00,18,7.5
165,2020-11-14 08:00:00.00+00:00,16,7.5
166,2020-11-14 10:00:00.00+00:00,16,7.5
167,2020-11-14 12:00:00.00+00:00,15,7.5
168,2020-11-14 14:00:00.00+00:00,15,7.5
169,2020-11-14 16:00:00.00+00:00,18,7.5
170,2020-11-14 18:00:00.00+00:00,84,7.4
171,2020-11-14 20:00:00.00+00:00,150,7.4
172,2020-11-14 22:00:00.00+00:00,97,7.5
173,2020-11-15 00:00:00.00+00:00,93,7.4
174,2020-11-15 02:00:00.00+00:00,82,7.4
175,2020-11-15 04:00:00.00+00:00,54,7.5
176,2020-11-15 06:00:00.00+00:00,28,7.5
177,2020-11-15 08:00:00.00+00:00,18,7.5
178,2020-11-15 10:00:00.00+00:00,17,7.5
179,2020-11-15 12:00:00.00+00:00,18,7.5
180,2020-11-15 14:00:00.00+00:00,17,7.5
181,2020-11-15 16:00:00.00+00:00,17,7.5
182,2020-11-15 18:00:00.00+00:00,18,7.5
183,2020-11-15 20:00:00.00+00:00,17,7.5
184,2020-11-15 22:00:00.00+00:00,18,7.5
185,2020-11-16 00:00:00.00+00:00,18,7.5
186,2020-11-16 02:00:00.00+00:00,17,7.5
187,2020-11-16 04:00:00.00+00:00,16,7.5
188,2020-11-16 06:00:00.00+00:00,16,7.5
189,2020-11-16 08:00:00.00+00:00,17,7.5
190,2020-11-16 10:00:00.00+00:00,12,7.5
191,2020-11-16 12:00:00.00+00:00,14,7.5
192,2020-11-16 14:00:00.00+00:00,16,7.5
193,2020-11-16 16:00:00.00+00:00,13,7.5
194,2020-11-16 18:00:00.00+00:00,18,7.5
195,2020-11-16 20:00:00.00+00:00,17,7.5
196,2020-11-16 22:00:00.00+00:00,17,7.5
197,2020-11-17 00:00:00.00+00:00,16,7.5
198,2020-11-17 02:00:00.00+00:00,16,7.5
199,2020-11-17 04:00:00.00+00:00,18,7.5
200,2020-11-17 06:00:00.00+00:00,18,7.5
201,2020-11-17 08:00:00.00+00:00,12,7.4
202,2020-11-17 10:00:00.00+00:00,11,7.5
203,2020-11-17 12:00:00.00+00:00,17,7.5
204,2020-11-17 14:00:00.00+00:00,15,7.4
205,2020-11-17 16:00:00.00+00:00,13,7.4
206,2020-11-17 18:00:00.00+00:00,16,7.5
207,2020-11-17 20:00:00.00+00:00,38,7.5
208,2020-11-17 22:00:00.00+00:00,59,7.5
209,2020-11-18 00:00:00.00+00:00,120,7.6
210,2020-11-18 02:00:00.00+00:00,182,7.6
211,2020-11-18 04:00:00.00+00:00,114,7.5
212,2020-11-18 06:00:00.00+00:00,75,7.5
213,2020-11-18 08:00:00.00+00:00,15,7.4
214,2020-11-18 10:00:00.00+00:00,17,7.4
215,2020-11-18 12:00:00.00+00:00,16,7.5
216,2020-11-18 14:00:00.00+00:00,16,7.4
217,2020-11-18 16:00:00.00+00:00,15,7.5
218,2020-11-18 18:00:00.00+00:00,18,7.5
219,2020-11-18 20:00:00.00+00:00,17,7.5
220,2020-11-18 22:00:00.00+00:00,18,7.5
221,2020-11-19 00:00:00.00+00:00,19,7.5
222,2020-11-19 02:00:00.00+00:00,20,7.5
223,2020-11-19 04:00:00.00+00:00,21,7.5
224,2020-11-19 06:00:00.00+00:00,18,7.5
225,2020-11-19 08:00:00.00+00:00,15,7.5
226,2020-11-19 10:00:00.00+00:00,15,7.5
227,2020-11-19 12:00:00.00+00:00,20,7.5
228,2020-11-19 14:00:00.00+00:00,17,7.5
229,2020-11-19 16:00:00.00+00:00,18,7.5
230,2020-11-19 18:00:00.00+00:00,18,7.5
231,2020-11-19 20:00:00.00+00:00,17,7.5
232,2020-11-19 22:00:00.00+00:00,16,7.5
233,2020-11-20 00:00:00.00+00:00,17,7.5
234,2020-11-20 02:00:00.00+00:00,17,7.5
235,2020-11-20 04:00:00.00+00:00,17,7.5
236,2020-11-20 06:00:00.00+00:00,18,7.5
237,2020-11-20 08:00:00.00+00:00,17,7.5
238,2020-11-20 10:00:00.00+00:00,13,7.4
239,2020-11-20 12:00:00.00+00:00,13,7.4
240,2020-11-20 14:00:00.00+00:00,14,7.4
241,2020-11-20 16:00:00.00+00:00,15,7.4
242,2020-11-20 18:00:00.00+00:00,18,7.5
243,2020-11-20 20:00:00.00+00:00,16,7.5
244,2020-11-20 22:00:00.00+00:00,16,7.5
245,2020-11-21 00:00:00.00+00:00,17,7.4
246,2020-11-21 02:00:00.00+00:00,17,7.4
247,2020-11-21 04:00:00.00+00:00,18,7.5
248,2020-11-21 06:00:00.00+00:00,18,7.5
249,2020-11-21 08:00:00.00+00:00,12,7.5
250,2020-11-21 10:00:00.00+00:00,13,7.5
251,2020-11-21 12:00:00.00+00:00,16,7.4
252,2020-11-21 14:00:00.00+00:00,17,7.5
253,2020-11-21 16:00:00.00+00:00,14,7.4
254,2020-11-21 18:00:00.00+00:00,18,7.5
255,2020-11-21 20:00:00.00+00:00,17,7.5
256,2020-11-21 22:00:00.00+00:00,17,7.4
257,2020-11-22 00:00:00.00+00:00,16,7.4
258,2020-11-22 02:00:00.00+00:00,16,7.4
259,2020-11-22 04:00:00.00+00:00,17,7.5
260,2020-11-22 06:00:00.00+00:00,18,7.5
261,2020-11-22 08:00:00.00+00:00,11,7.5
262,2020-11-22 10:00:00.00+00:00,11,7.4
263,2020-11-22 12:00:00.00+00:00,12,7.5
264,2020-11-22 14:00:00.00+00:00,12,7.5
265,2020-11-22 16:00:00.00+00:00,10,7.5
266,2020-11-22 18:00:00.00+00:00,15,7.5
267,2020-11-23 20:00:00.00+00:00,16,7.5
268,2020-11-23 22:00:00.00+00:00,16,7.5
269,2020-11-23 00:00:00.00+00:00,17,7.5
270,2020-11-23 02:00:00.00+00:00,17,7.5
271,2020-11-23 04:00:00.00+00:00,16,7.5
272,2020-11-23 06:00:00.00+00:00,16,7.5
273,2020-11-23 08:00:00.00+00:00,15,7.5
274,2020-11-23 10:00:00.00+00:00,14,7.5
275,2020-11-23 12:00:00.00+00:00,14,7.5
276,2020-11-23 14:00:00.00+00:00,13,7.5
277,2020-11-23 16:00:00.00+00:00,13,7.5
278,2020-11-23 18:00:00.00+00:00,13,7.5
279,2020-11-23 20:00:00.00+00:00,13,7.5
280,2020-11-23 22:00:00.00+00:00,13,7.5
281,2020-11-24 00:00:00.00+00:00,14,7.4
282,2020-11-24 02:00:00.00+00:00,14,7.4
283,2020-11-24 04:00:00.00+00:00,16,7.5
284,2020-11-24 06:00:00.00+00:00,12,7.4
285,2020-11-24 08:00:00.00+00:00,18,7.5
286,2020-11-24 10:00:00.00+00:00,12,7.5
287,2020-11-24 12:00:00.00+00:00,15,7.5
288,2020-11-24 14:00:00.00+00:00,16,7.6
289,2020-11-24 16:00:00.00+00:00,19,7.6
290,2020-11-24 18:00:00.00+00:00,15,7.4
291,2020-11-24 20:00:00.00+00:00,15,7.5
292,2020-11-24 22:00:00.00+00:00,14,7.5
293,2020-11-25 00:00:00.00+00:00,13,7.5
294,2020-11-25 02:00:00.00+00:00,12,7.5
295,2020-11-25 04:00:00.00+00:00,12,7.5
296,2020-11-25 06:00:00.00+00:00,12,7.5
297,2020-11-25 08:00:00.00+00:00,14,7.5
298,2020-11-25 10:00:00.00+00:00,13,7.4
299,2020-11-25 12:00:00.00+00:00,15,7.5
300,2020-11-25 14:00:00.00+00:00,16,7.5
301,2020-11-25 16:00:00.00+00:00,14,7.4
302,2020-11-25 18:00:00.00+00:00,15,7.5
303,2020-11-25 20:00:00.00+00:00,13,7.5
304,2020-11-25 22:00:00.00+00:00,13,7.5
305,2020-11-26 00:00:00.00+00:00,12,7.5
306,2020-11-26 02:00:00.00+00:00,12,7.5
307,2020-11-26 04:00:00.00+00:00,14,7.5
308,2020-11-26 06:00:00.00+00:00,12,7.5
309,2020-11-26 08:00:00.00+00:00,15,7.5
310,2020-11-26 10:00:00.00+00:00,13,7.5
311,2020-11-26 12:00:00.00+00:00,12,7.5
312,2020-11-26 14:00:00.00+00:00,14,7.4
313,2020-11-26 16:00:00.00+00:00,13,7.5
314,2020-11-26 18:00:00.00+00:00,19,7.5
315,2020-11-26 20:00:00.00+00:00,17,7.5
316,2020-11-26 22:00:00.00+00:00,15,7.5
317,2020-11-27 00:00:00.00+00:00,14,7.5
318,2020-11-27 02:00:00.00+00:00,14,7.5
319,2020-11-27 04:00:00.00+00:00,12,7.5
320,2020-11-27 06:00:00.00+00:00,13,7.4
321,2020-11-27 08:00:00.00+00:00,18,7.5
322,2020-11-27 10:00:00.00+00:00,17,7.4
323,2020-11-27 12:00:00.00+00:00,19,7.5
324,2020-11-27 14:00:00.00+00:00,19,7.5
325,2020-11-27 16:00:00.00+00:00,14,7.5
326,2020-11-27 18:00:00.00+00:00,13,7.3
327,2020-11-27 20:00:00.00+00:00,12,7.5
328,2020-11-27 22:00:00.00+00:00,13,7.5
329,2020-11-28 00:00:00.00+00:00,13,7.5
330,2020-11-28 02:00:00.00+00:00,13,7.5
331,2020-11-28 04:00:00.00+00:00,12,7.4
332,2020-11-28 06:00:00.00+00:00,12,7.4
333,2020-11-28 08:00:00.00+00:00,13,7.5
334,2020-11-28 10:00:00.00+00:00,12,7.5
335,2020-11-28 12:00:00.00+00:00,12,7.5
336,2020-11-28 14:00:00.00+00:00,11,7.5
337,2020-11-28 16:00:00.00+00:00,12,7.5
338,2020-11-28 18:00:00.00+00:00,12,7.5
339,2020-11-28 20:00:00.00+00:00,12,7.4
340,2020-11-28 22:00:00.00+00:00,12,7.4
341,2020-11-29 00:00:00.00+00:00,12,7.5
342,2020-11-29 02:00:00.00+00:00,11,7.5
343,2020-11-29 04:00:00.00+00:00,11,7.5
344,2020-11-29 06:00:00.00+00:00,11,7.5
345,2020-11-29 08:00:00.00+00:00,16,7.5
346,2020-11-29 10:00:00.00+00:00,15,7.5
347,2020-11-29 12:00:00.00+00:00,13,7.5
348,2020-11-29 14:00:00.00+00:00,14,7.5
349,2020-11-29 16:00:00.00+00:00,13,7.5
350,2020-11-29 18:00:00.00+00:00,13,7.5
351,2020-11-29 20:00:00.00+00:00,15,7.5
352,2020-11-29 22:00:00.00+00:00,72,7.3
353,2020-11-30 00:00:00.00+00:00,67,7.4
354,2020-11-30 02:00:00.00+00:00,29,7.5
355,2020-11-30 04:00:00.00+00:00,14,7.4
356,2020-11-30 06:00:00.00+00:00,12,7.4
357,2020-11-30 08:00:00.00+00:00,18,7.5
358,2020-11-30 10:00:00.00+00:00,12,7.5
359,2020-11-30 12:00:00.00+00:00,15,7.5
360,2020-11-30 14:00:00.00+00:00,17,7.5
361,2020-11-30 16:00:00.00+00:00,18,7.5
362,2020-11-30 18:00:00.00+00:00,14,7.5
363,2020-11-30 20:00:00.00+00:00,13,7.5
364,2020-11-30 22:00:00.00+00:00,12,7.5
365,2020-12-01 00:00:00.00+00:00,15,7.5
366,2020-12-01 02:00:00.00+00:00,15,7.5
367,2020-12-01 04:00:00.00+00:00,16,7.4
368,2020-12-01 06:00:00.00+00:00,15,7.5
369,2020-12-01 08:00:00.00+00:00,18,7.5
370,2020-12-01 10:00:00.00+00:00,12,7.5
371,2020-12-01 12:00:00.00+00:00,15,7.5
372,2020-12-01 14:00:00.00+00:00,16,7.5
373,2020-12-01 16:00:00.00+00:00,18,7.5
374,2020-12-01 18:00:00.00+00:00,19,7.5
375,2020-12-01 20:00:00.00+00:00,12,7.5
376,2020-12-01 22:00:00.00+00:00,15,7.5
377,2020-12-02 00:00:00.00+00:00,69,7.4
378,2020-12-02 02:00:00.00+00:00,62,7.5
379,2020-12-02 04:00:00.00+00:00,43,7.5
380,2020-12-02 06:00:00.00+00:00,25,7.4
381,2020-12-02 08:00:00.00+00:00,13,7.4
382,2020-12-02 10:00:00.00+00:00,19,7.4
383,2020-12-02 12:00:00.00+00:00,16,7.4
384,2020-12-02 14:00:00.00+00:00,13,7.4
385,2020-12-02 16:00:00.00+00:00,17,7.4
386,2020-12-02 18:00:00.00+00:00,18,7.5
387,2020-12-02 20:00:00.00+00:00,14,7.4
388,2020-12-02 22:00:00.00+00:00,16,7.4
389,2020-12-03 00:00:00.00+00:00,15,7.5
390,2020-12-03 02:00:00.00+00:00,19,7.5
391,2020-12-03 04:00:00.00+00:00,17,7.4
392,2020-12-03 06:00:00.00+00:00,18,7.5
393,2020-12-03 08:00:00.00+00:00,14,7.4
394,2020-12-03 10:00:00.00+00:00,15,7.4
395,2020-12-03 12:00:00.00+00:00,18,7.4
396,2020-12-03 14:00:00.00+00:00,15,7.4
397,2020-12-03 16:00:00.00+00:00,14,7.4
398,2020-12-03 18:00:00.00+00:00,15,7.5
399,2020-12-03 20:00:00.00+00:00,15,7.5
400,2020-12-03 22:00:00.00+00:00,16,7.5
401,2020-12-04 00:00:00.00+00:00,14,7.5
402,2020-12-04 02:00:00.00+00:00,13,7.5
403,2020-12-04 04:00:00.00+00:00,15,7.5
404,2020-12-04 06:00:00.00+00:00,16,7.5
405,2020-12-04 08:00:00.00+00:00,15,7.5
406,2020-12-04 10:00:00.00+00:00,14,7.4
407,2020-12-04 12:00:00.00+00:00,18,7.4
408,2020-12-04 14:00:00.00+00:00,15,7.4
409,2020-12-04 16:00:00.00+00:00,14,7.4
410,2020-12-04 18:00:00.00+00:00,15,7.5
411,2020-12-04 20:00:00.00+00:00,12,7.4
412,2020-12-04 22:00:00.00+00:00,13,7.5
413,2020-12-05 00:00:00.00+00:00,55,7.5
414,2020-12-05 02:00:00.00+00:00,35,7.5
415,2020-12-05 04:00:00.00+00:00,33,7.5
416,2020-12-05 06:00:00.00+00:00,27,7.5
417,2020-12-05 08:00:00.00+00:00,20,7.5
418,2020-12-05 10:00:00.00+00:00,19,7.5
419,2020-12-05 12:00:00.00+00:00,18,7.5
420,2020-12-05 14:00:00.00+00:00,16,7.5
421,2020-12-05 16:00:00.00+00:00,17,7.5
422,2020-12-05 18:00:00.00+00:00,12,7.5
423,2020-12-05 20:00:00.00+00:00,19,7.5
424,2020-12-05 22:00:00.00+00:00,17,7.5
425,2020-12-06 00:00:00.00+00:00,15,7.5
426,2020-12-06 02:00:00.00+00:00,17,7.5
427,2020-12-06 04:00:00.00+00:00,13,7.5
428,2020-12-06 06:00:00.00+00:00,10,7.5
429,2020-12-06 08:00:00.00+00:00,17,7.5
430,2020-12-06 10:00:00.00+00:00,18,7.5
431,2020-12-06 12:00:00.00+00:00,22,7.5
432,2020-12-06 14:00:00.00+00:00,23,7.5
433,2020-12-06 16:00:00.00+00:00,21,7.5
434,2020-12-06 18:00:00.00+00:00,19,7.5
435,2020-12-06 20:00:00.00+00:00,21,7.5
436,2020-12-06 22:00:00.00+00:00,23,7.5
437,2020-12-07 00:00:00.00+00:00,17,7.5
438,2020-12-07 02:00:00.00+00:00,18,7.5
439,2020-12-07 04:00:00.00+00:00,14,7.5
440,2020-12-07 06:00:00.00+00:00,17,7.5
441,2020-12-07 08:00:00.00+00:00,18,7.5
442,2020-12-07 10:00:00.00+00:00,22,7.5
443,2020-12-07 12:00:00.00+00:00,23,7.5
444,2020-12-07 14:00:00.00+00:00,21,7.5
445,2020-12-07 16:00:00.00+00:00,17,7.5
446,2020-12-07 18:00:00.00+00:00,19,7.5
447,2020-12-07 20:00:00.00+00:00,20,7.5
448,2020-12-07 22:00:00.00+00:00,18,7.5
449,2020-12-08 00:00:00.00+00:00,18,7.5
450,2020-12-08 02:00:00.00+00:00,18,7.5
451,2020-12-08 04:00:00.00+00:00,19,7.5
452,2020-12-08 06:00:00.00+00:00,18,7.5
453,2020-12-08 08:00:00.00+00:00,22,7.5
454,2020-12-08 10:00:00.00+00:00,18,7.5
455,2020-12-08 12:00:00.00+00:00,20,7.5
456,2020-12-08 14:00:00.00+00:00,19,7.5
457,2020-12-08 16:00:00.00+00:00,18,7.5
458,2020-12-08 18:00:00.00+00:00,19,7.5
459,2020-12-08 20:00:00.00+00:00,19,7.5
460,2020-12-08 22:00:00.00+00:00,18,7.5
461,2020-12-09 00:00:00.00+00:00,17,7.5
462,2020-12-09 02:00:00.00+00:00,17,7.5
463,2020-12-09 04:00:00.00+00:00,17,7.5
464,2020-12-09 06:00:00.00+00:00,17,7.5
465,2020-12-09 08:00:00.00+00:00,19,7.5
466,2020-12-09 10:00:00.00+00:00,19,7.5
467,2020-12-09 12:00:00.00+00:00,18,7.5
468,2020-12-09 14:00:00.00+00:00,16,7.5
469,2020-12-09 16:00:00.00+00:00,15,7.5
470,2020-12-09 18:00:00.00+00:00,15,7.5
471,2020-12-09 20:00:00.00+00:00,16,7.5
472,2020-12-09 22:00:00.00+00:00,16,7.5
473,2020-12-10 00:00:00.00+00:00,16,7.5
474,2020-12-10 02:00:00.00+00:00,16,7.5
475,2020-12-10 04:00:00.00+00:00,15,7.5
476,2020-12-10 06:00:00.00+00:00,15,7.5
477,2020-12-10 08:00:00.00+00:00,15,7.5
478,2020-12-10 10:00:00.00+00:00,12,7.5
479,2020-12-10 12:00:00.00+00:00,15,7.5
480,2020-12-10 14:00:00.00+00:00,16,7.5
481,2020-12-10 16:00:00.00+00:00,19,7.5
482,2020-12-10 18:00:00.00+00:00,18,7.5
483,2020-12-10 20:00:00.00+00:00,18,7.5
484,2020-12-10 22:00:00.00+00:00,17,7.5
485,2020-12-11 00:00:00.00+00:00,16,7.5
486,2020-12-11 02:00:00.00+00:00,16,7.5
487,2020-12-11 04:00:00.00+00:00,16,7.5
488,2020-12-11 06:00:00.00+00:00,16,7.5
489,2020-12-11 08:00:00.00+00:00,16,7.5
490,2020-12-11 10:00:00.00+00:00,19,7.5
491,2020-12-11 12:00:00.00+00:00,18,7.5
492,2020-12-11 14:00:00.00+00:00,18,7.5
493,2020-12-11 16:00:00.00+00:00,18,7.5
494,2020-12-11 18:00:00.00+00:00,18,7.5
495,2020-12-11 20:00:00.00+00:00,18,7.5
496,2020-12-11 22:00:00.00+00:00,18,7.5
497,2020-12-12 00:00:00.00+00:00,19,7.5
498,2020-12-12 02:00:00.00+00:00,18,7.5
499,2020-12-12 04:00:00.00+00:00,18,7.5
500,2020-12-12 06:00:00.00+00:00,17,7.5
501,2020-12-12 08:00:00.00+00:00,16,7.5
502,2020-12-12 10:00:00.00+00:00,15,7.5
503,2020-12-12 12:00:00.00+00:00,15,7.5
504,2020-12-12 14:00:00.00+00:00,13,7.5
505,2020-12-12 16:00:00.00+00:00,14,7.5
506,2020-12-12 18:00:00.00+00:00,15,7.5
507,2020-12-12 20:00:00.00+00:00,14,7.5
508,2020-12-12 22:00:00.00+00:00,16,7.5
509,2020-12-13 00:00:00.00+00:00,15,7.5
510,2020-12-13 02:00:00.00+00:00,15,7.5
511,2020-12-13 04:00:00.00+00:00,13,7.5
512,2020-12-13 06:00:00.00+00:00,12,7.5
513,2020-12-13 08:00:00.00+00:00,12,7.5
514,2020-12-13 10:00:00.00+00:00,16,7.5
515,2020-12-13 12:00:00.00+00:00,18,7.5
516,2020-12-13 14:00:00.00+00:00,18,7.5
517,2020-12-13 16:00:00.00+00:00,18,7.5
518,2020-12-13 18:00:00.00+00:00,18,7.5
519,2020-12-13 20:00:00.00+00:00,16,7.5
520,2020-12-13 22:00:00.00+00:00,16,7.5
521,2020-12-14 00:00:00.00+00:00,16,7.5
522,2020-12-14 02:00:00.00+00:00,16,7.5
523,2020-12-14 04:00:00.00+00:00,16,7.5
524,2020-12-14 06:00:00.00+00:00,16,7.5
525,2020-12-14 08:00:00.00+00:00,9,7.5
526,2020-12-14 10:00:00.00+00:00,10,7.5
527,2020-12-14 12:00:00.00+00:00,10,7.5
528,2020-12-14 14:00:00.00+00:00,11,7.5
529,2020-12-14 16:00:00.00+00:00,10,7.5
530,2020-12-14 18:00:00.00+00:00,14,7.5
531,2020-12-14 20:00:00.00+00:00,13,7.5
532,2020-12-14 22:00:00.00+00:00,13,7.5
533,2020-12-15 00:00:00.00+00:00,12,7.5
534,2020-12-15 02:00:00.00+00:00,12,7.5
535,2020-12-15 04:00:00.00+00:00,11,7.5
536,2020-12-15 06:00:00.00+00:00,10,7.5
537,2020-12-15 08:00:00.00+00:00,9,7.5
538,2020-12-15 10:00:00.00+00:00,10,7.5
539,2020-12-15 12:00:00.00+00:00,10,7.5
540,2020-12-15 14:00:00.00+00:00,11,7.5
541,2020-12-15 16:00:00.00+00:00,12,7.5
542,2020-12-15 18:00:00.00+00:00,11,7.5
543,2020-12-15 20:00:00.00+00:00,12,7.5
544,2020-12-15 22:00:00.00+00:00,11,7.5
545,2020-12-16 00:00:00.00+00:00,11,7.5
546,2020-12-16 02:00:00.00+00:00,10,7.5
547,2020-12-16 04:00:00.00+00:00,9,7.5
548,2020-12-16 06:00:00.00+00:00,10,7.5
549,2020-12-16 08:00:00.00+00:00,10,7.5
550,2020-12-16 10:00:00.00+00:00,11,7.5
551,2020-12-16 12:00:00.00+00:00,12,7.5
552,2020-12-16 14:00:00.00+00:00,11,7.5
553,2020-12-16 16:00:00.00+00:00,10,7.5
554,2020-12-16 18:00:00.00+00:00,12,7.5
555,2020-12-16 20:00:00.00+00:00,11,7.5
556,2020-12-16 22:00:00.00+00:00,12,7.5
557,2020-12-17 00:00:00.00+00:00,18,7.5
558,2020-12-17 02:00:00.00+00:00,32,7.5
559,2020-12-17 04:00:00.00+00:00,23,7.5
560,2020-12-17 06:00:00.00+00:00,19,7.5
561,2020-12-17 08:00:00.00+00:00,14,7.5
562,2020-12-17 10:00:00.00+00:00,13,7.5
563,2020-12-17 12:00:00.00+00:00,13,7.5
