,time,data_rate,rssi,sensor,snr
79,2019-10-25 09:08:37.425435136+00:00,SF12BW125,-108,node3,-0.5
80,2019-10-25 09:08:57.093477888+00:00,SF12BW125,-85,node1,6.8
81,2019-10-25 09:09:22.276536064+00:00,SF12BW125,-100,node2,6.0
82,2019-10-25 09:09:43.541605120+00:00,SF12BW125,-109,node3,0.8
83,2019-10-25 09:10:03.216698880+00:00,SF12BW125,-87,node1,9.0
84,2019-10-25 09:10:28.390902016+00:00,SF12BW125,-102,node2,4.5
85,2019-10-25 09:11:09.328361984+00:00,SF12BW125,-88,node1,7.2
86,2019-10-25 09:11:34.513384960+00:00,SF12BW125,-103,node2,3.8
87,2019-10-25 09:11:55.773710080+00:00,SF12BW125,-111,node3,-1.2
88,2019-10-25 09:12:15.453718016+00:00,SF12BW125,-87,node1,8.2
89,2019-10-25 09:12:40.620433152+00:00,SF12BW125,-102,node2,4.0
90,2019-10-25 09:13:01.895990016+00:00,SF12BW125,-113,node3,-0.8
91,2019-10-25 09:29:53.327756800+00:00,SF12BW125,-87,node1,9.2
92,2019-10-25 09:30:18.501808896+00:00,SF12BW125,-101,node2,4.0
93,2019-10-25 09:30:39.768729856+00:00,SF12BW125,-109,node3,-0.2
94,2019-10-25 09:30:59.452933120+00:00,SF12BW125,-88,node1,9.8
95,2019-10-25 09:31:24.621041152+00:00,SF12BW125,-102,node2,4.5
96,2019-10-25 09:32:05.562271232+00:00,SF12BW125,-85,node1,9.8
97,2019-10-25 09:32:30.741314816+00:00,SF12BW125,-101,node2,5.8
98,2019-10-25 09:32:52.006074880+00:00,SF12BW125,-108,node3,3.2
99,2019-10-25 09:33:36.856513024+00:00,SF12BW125,-102,node2,3.8
100,2019-10-25 09:33:58.119318016+00:00,SF12BW125,-109,node3,-1.8
101,2019-10-25 09:34:17.801452032+00:00,SF12BW125,-88,node1,10.5
102,2019-10-25 09:34:42.971911936+00:00,SF12BW125,-102,node2,4.8
103,2019-10-25 09:35:04.241533952+00:00,SF12BW125,-105,node3,1.8
104,2019-10-25 09:35:23.911250944+00:00,SF12BW125,-89,node1,9.8
105,2019-10-25 09:35:49.093624064+00:00,SF12BW125,-102,node2,4.5
106,2019-10-25 09:36:10.351036928+00:00,SF12BW125,-112,node3,0.8
107,2019-10-25 09:36:30.024937984+00:00,SF12BW125,-89,node1,9.0
108,2019-10-25 09:36:55.202931968+00:00,SF12BW125,-102,node2,5.2
109,2019-10-25 09:37:16.470379008+00:00,SF12BW125,-111,node3,-1.5
110,2019-10-25 09:37:36.147492864+00:00,SF12BW125,-87,node1,9.5
111,2019-10-25 09:38:22.581708800+00:00,SF12BW125,-109,node3,-1.8
112,2019-10-25 09:39:07.438281984+00:00,SF12BW125,-102,node2,4.2
113,2019-10-25 09:39:28.700057856+00:00,SF12BW125,-111,node3,-0.8
114,2019-10-25 09:39:48.377309184+00:00,SF12BW125,-87,node1,7.8
115,2019-10-25 09:40:13.559686912+00:00,SF12BW125,-102,node2,5.0
116,2019-10-25 09:40:34.815854080+00:00,SF12BW125,-109,node3,-1.8
117,2019-10-25 09:40:54.495004928+00:00,SF12BW125,-90,node1,9.8
118,2019-10-25 09:41:19.679133952+00:00,SF12BW125,-101,node2,5.8
119,2019-10-25 09:41:40.946180096+00:00,SF12BW125,-109,node3,-1.2
120,2019-10-25 09:42:25.806268928+00:00,SF12BW125,-101,node2,5.8
121,2019-10-25 09:42:47.078520064+00:00,SF12BW125,-106,node3,-1.2
122,2019-10-25 09:43:06.726464+00:00,SF12BW125,-88,node1,8.5
123,2019-10-25 09:43:31.901212928+00:00,SF12BW125,-100,node2,5.5
124,2019-10-25 09:43:53.169097984+00:00,SF12BW125,-111,node3,-2.5
125,2019-10-25 09:44:12.841972224+00:00,SF12BW125,-90,node1,7.8
126,2019-10-25 09:44:38.025091840+00:00,SF12BW125,-100,node2,5.8
127,2019-10-25 09:44:59.295248896+00:00,SF12BW125,-109,node3,-0.2
128,2019-10-25 09:45:44.139774976+00:00,SF12BW125,-101,node2,6.5
129,2019-10-25 09:46:05.410641920+00:00,SF12BW125,-113,node3,-1.0
130,2019-10-25 09:46:25.080876032+00:00,SF12BW125,-89,node1,10.0
